Algorithm: Merge Sort, Field: location, Order: Ascending, Items: 25130, Time(ms): 66.12
Algorithm: Insertion Sort, Field: location, Order: Ascending, Items: 25130, Time(ms): 35126
Algorithm: Insertion Sort, Field: location, Order: Ascending, Items: 25130, Time(ms): 16915.8
Algorithm: Merge Sort, Field: location, Order: Ascending, Items: 1249693, Time(ms): 4172.11
Algorithm: Merge Sort, Field: location, Order: Ascending, Items: 1249693, Time(ms): 3227.28
Algorithm: Merge Sort, Field: location, Order: Ascending, Items: 25130, Time(ms): 70.169
Algorithm: Insertion Sort, Field: location, Order: Ascending, Items: 25130, Time(ms): 57303.6
Algorithm: Merge Sort, Field: , Order: Ascending, Items: 10162, Time(ms): 38.748
Algorithm: Merge Sort, Field: amount, Order: Ascending, Items: 1249693, Time(ms): 3641.94
Algorithm: Merge Sort, Field: , Order: Ascending, Items: 1249693, Time(ms): 7678.83
Algorithm: Insertion Sort, Field: location, Order: Descending, Items: 47, Time(ms): 0.126
